data_date,open,high,low,close,adj_close,volume,dividend amt,split coef,ticker
2020-06-10,139.25,141.22,138.75,139.91,139.325495152,1731140,0.0000,1.0,SPY
2020-06-09,140.88,141.79,138.47,138.8,138.220132421,1622450,0.0000,1.0,SPY
2020-06-08,139.0,141.35,137.67,141.3,140.70968812,1747335,0.0000,1.0,SPY
2020-06-05,141.53,142.43,139.35,141.01,140.420899659,1947778,0.0000,1.0,SPY
2020-06-04,141.02,142.26,139.4,140.52,139.932946742,1524782,0.0000,1.0,SPY
2020-06-03,141.65,143.21,140.67,142.53,141.934549525,1459520,0.0000,1.0,SPY
2020-06-02,138.67,141.51,138.22,141.48,140.888936131,1649063,0.0000,1.0,SPY
2020-06-01,138.65,139.1,137.07,138.34,137.762054173,1412949,0.0000,1.0,SPY
2020-05-29,138.44,139.65,134.95,139.39,138.807667566,2814540,0.0000,1.0,SPY
2020-05-28,137.81,140.24,137.46,138.11,137.533015048,2367779,0.0000,1.0,SPY
2020-05-27,133.7,135.71,130.85,135.64,135.073334017,2287020,0.0000,1.0,SPY
2020-05-26,131.42,132.91,130.14,130.45,129.905016386,2322278,0.0000,1.0,SPY
2020-05-22,129.6,130.78,128.88,130.11,129.566436811,1602422,0.0000,1.0,SPY
2020-05-21,133.79,133.89,129.9,130.33,129.785517712,1413082,0.0000,1.0,SPY
2020-05-20,136.2,137.07,133.04,133.34,132.782942774,2302436,0.0000,1.0,SPY
2020-05-19,131.05,135.76,130.08,134.34,133.778765054,3335349,0.0000,1.0,SPY
2020-05-18,130.18,132.54,129.8,131.42,130.870963997,2762779,0.0000,1.0,SPY
2020-05-15,126.44,127.96,125.31,127.49,126.957382438,2921692,0.0000,1.0,SPY
2020-05-14,122.07,126.53,121.5,126.03,125.50348191,2246802,0.0000,1.0,SPY
2020-05-13,123.53,125.07,121.75,123.03,122.516015071,1879048,0.0000,1.0,SPY
2020-05-12,127.06,127.7,123.87,124.01,123.491920905,1889529,0.0000,1.0,SPY
2020-05-11,125.34,126.85,124.55,126.39,125.86197793,1888251,0.0000,1.0,SPY
2020-05-08,125.21,126.36,124.82,125.47,124.945821433,1617512,0.0000,1.0,SPY
2020-05-07,127.29,127.5,123.37,124.24,123.720960029,3097966,0.0000,1.0,SPY
2020-05-06,125.97,128.91,125.63,125.69,125.164902334,3393866,0.0000,1.0,SPY
2020-05-05,128.65,132.24,128.29,131.3,130.751465324,2445143,0.0000,1.0,SPY
2020-05-04,127.76,128.06,125.56,127.44,126.907591324,1833792,0.0000,1.0,SPY
2020-05-01,127.44,127.89,124.92,127.53,126.997215329,1738347,0.0000,1.0,SPY
2020-04-30,125.5,130.42,124.84,129.31,128.769778987,3075290,0.0000,1.0,SPY
2020-04-29,124.27,126.98,123.01,125.55,125.025487215,2905278,0.0000,1.0,SPY
2020-04-28,128.46,128.7,122.85,123.0,122.486140402,3098372,0.0000,1.0,SPY
2020-04-27,126.96,128.6,126.1,127.42,126.887674878,2202168,0.0000,1.0,SPY
2020-04-24,124.6,126.85,122.66,125.91,125.383983236,1945362,0.0000,1.0,SPY
2020-04-23,126.25,126.62,123.41,123.64,123.123466661,3258744,0.0000,1.0,SPY
2020-04-22,126.53,127.48,125.55,125.81,125.284401008,1943715,0.0000,1.0,SPY
2020-04-21,125.79,126.05,123.58,124.7,124.179038278,2601299,0.0000,1.0,SPY
2020-04-20,128.72,129.14,127.23,127.39,126.85780021,2418611,0.0000,1.0,SPY
2020-04-17,129.74,131.54,128.61,130.72,130.173888401,1977580,0.0000,1.0,SPY
2020-04-16,125.22,128.05,123.98,127.45,126.917549547,2063963,0.2000,1.0,SPY
2020-04-15,125.42,126.12,123.08,123.81,123.099583309,2262855,0.0000,1.0,SPY
2020-04-14,126.42,128.94,124.18,127.82,127.086574094,2508161,0.0000,1.0,SPY
2020-04-13,128.01,128.82,122.11,122.95,122.244517954,3188463,0.0000,1.0,SPY
2020-04-09,126.55,131.15,126.44,128.75,128.011237792,1962328,0.0000,1.0,SPY
