,ticker,corr w covid change,GICS Sector,GICS Sub-Industry,corr abs
378,PSX,-0.28742791037743315,Energy,Oil & Gas Refining & Marketing,0.28742791037743315
379,PVH,-0.2448310349726109,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.2448310349726109
380,PWR,-0.2255329145971072,Industrials,Construction & Engineering,0.2255329145971072
381,PXD,-0.3704166778683939,Energy,Oil & Gas Exploration & Production,0.3704166778683939
382,PYPL,-0.14871617943321855,Information Technology,Data Processing & Outsourced Services,0.14871617943321855
383,QCOM,-0.1943647489131246,Information Technology,Semiconductors,0.1943647489131246
384,QRVO,-0.3294146324570106,Information Technology,Semiconductors,0.3294146324570106
385,RCL,-0.3558919166246869,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.3558919166246869
386,RE,-0.13532729548148714,Financials,Reinsurance,0.13532729548148714
387,REG,-0.043548677644972215,Real Estate,Retail REITs,0.043548677644972215
388,REGN,0.2002558662726279,Health Care,Biotechnology,0.2002558662726279
389,RF,-0.2230077313950421,Financials,Regional Banks,0.2230077313950421
390,RHI,-0.19772225051800066,Industrials,Human Resource & Employment Services,0.19772225051800066
391,RJF,-0.2866488178151516,Financials,Investment Banking & Brokerage,0.2866488178151516
392,RL,-0.19448155822572405,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.19448155822572405
393,RMD,-0.12015937877513508,Health Care,Health Care Equipment,0.12015937877513508
394,ROK,-0.15540346113769554,Industrials,Electrical Components & Equipment,0.15540346113769554
395,ROL,-0.007408172131964224,Industrials,Environmental & Facilities Services,0.007408172131964224
396,ROP,-0.23825658518818946,Industrials,Industrial Conglomerates,0.23825658518818946
397,ROST,-0.18347014512317886,Consumer Discretionary,Apparel Retail,0.18347014512317886
398,RSG,-0.10090337681020012,Industrials,Environmental & Facilities Services,0.10090337681020012
399,RTX,-0.2280750605001039,Industrials,Aerospace & Defense,0.2280750605001039
400,SBAC,0.018123792044820838,Real Estate,Specialized REITs,0.018123792044820838
401,SBUX,-0.2782608456850144,Consumer Discretionary,Restaurants,0.2782608456850144
402,SCHW,-0.3539481465010399,Financials,Investment Banking & Brokerage,0.3539481465010399
403,SEE,-0.2136537721289051,Materials,Paper Packaging,0.2136537721289051
404,SHW,-0.15992957093148885,Materials,Specialty Chemicals,0.15992957093148885
405,SIVB,-0.3736573501767593,Financials,Regional Banks,0.3736573501767593
406,SJM,0.04163360029999222,Consumer Staples,Packaged Foods & Meats,0.04163360029999222
407,SLB,-0.3735150029850951,Energy,Oil & Gas Equipment & Services,0.3735150029850951
408,SLG,-0.12227347099798905,Real Estate,Office REITs,0.12227347099798905
409,SNA,-0.13945729492445988,Industrials,Industrial Machinery,0.13945729492445988
410,SNPS,-0.328138223545833,Information Technology,Application Software,0.328138223545833
411,SO,-0.05311594355706298,Utilities,Electric Utilities,0.05311594355706298
412,SPG,-0.14228912440430286,Real Estate,Retail REITs,0.14228912440430286
413,SPGI,-0.2141663753604517,Financials,Financial Exchanges & Data,0.2141663753604517
415,SRE,-0.2029284859479283,Utilities,Multi-Utilities,0.2029284859479283
416,STE,-0.23940662136647825,Health Care,Health Care Equipment,0.23940662136647825
417,STT,-0.2590746545929539,Financials,Asset Management & Custody Banks,0.2590746545929539
418,STX,-0.062113567725614,Information Technology,"Technology Hardware, Storage & Peripherals",0.062113567725614
419,STZ,-0.17408364021009484,Consumer Staples,Distillers & Vintners,0.17408364021009484
420,SWK,-0.3528327309581916,Industrials,Industrial Machinery,0.3528327309581916
421,SWKS,-0.3287798975503259,Information Technology,Semiconductors,0.3287798975503259
422,SYF,-0.1669335350273617,Financials,Consumer Finance,0.1669335350273617
